timestamp,user_id,user_name,service,record_type,credit_cost,plan,skipped_quota_enforcement,query_id,metadata
2025-04-16T02:17:11Z,939862,recycbitcoin,application,query_execution,10.000000,free,false,4957423,"{""query_execution_metadata"":{""execution_id"":""01JRY60JTACSZKH7X9X3XK7E52"",""metrics"":{""execution_duration_seconds"":69,""execution_pending_milliseconds"":96143,""result_set_bytes"":11772,""row_count"":327,""column_count"":4,""cell_count"":1308},""performance"":""medium"",""execution_type"":""interactive""}}"
2025-04-16T02:25:59Z,939862,recycbitcoin,application,query_execution,10.000000,free,false,4955977,"{""query_execution_metadata"":{""execution_id"":""01JRY60JHDT2ADRW46TJ4JJH46"",""metrics"":{""execution_duration_seconds"":599,""execution_pending_milliseconds"":94394,""result_set_bytes"":16800,""row_count"":300,""column_count"":7,""cell_count"":2100},""performance"":""medium"",""execution_type"":""interactive""}}"
2025-04-16T02:26:32Z,939862,recycbitcoin,application,query_execution,10.000000,free,false,4960932,"{""query_execution_metadata"":{""execution_id"":""01JRY60JTBTVDDP7HKTBEAGMHA"",""metrics"":{""execution_duration_seconds"":21,""execution_pending_milliseconds"":704969,""result_set_bytes"":984,""row_count"":21,""column_count"":6,""cell_count"":126},""performance"":""medium"",""execution_type"":""interactive""}}"
2025-04-16T02:26:45Z,939862,recycbitcoin,application,query_execution,10.000000,free,false,4955980,"{""query_execution_metadata"":{""execution_id"":""01JRY60MZWE7E01PJAJFJBN98T"",""metrics"":{""execution_duration_seconds"":10,""execution_pending_milliseconds"":726850,""result_set_bytes"":37,""row_count"":1,""column_count"":5,""cell_count"":5},""performance"":""medium"",""execution_type"":""interactive""}}"
2025-04-16T02:27:14Z,939862,recycbitcoin,application,query_execution,10.000000,free,false,3752371,"{""query_execution_metadata"":{""execution_id"":""01JRY5CKPE06NDK9X5BDG8TYB0"",""metrics"":{""execution_duration_seconds"":1413,""execution_pending_milliseconds"":9366,""result_set_bytes"":4060,""row_count"":224,""column_count"":3,""cell_count"":672},""performance"":""medium"",""execution_type"":""interactive""}}"
2025-04-25T06:37:01Z,939862,recycbitcoin,application,query_execution,10.000000,free,false,622204,"{""query_execution_metadata"":{""execution_id"":""01JSNTKDSN8CS92EFP3RHNMWWP"",""metrics"":{""execution_duration_seconds"":12,""execution_pending_milliseconds"":1900,""result_set_bytes"":8,""row_count"":1,""column_count"":1,""cell_count"":1},""performance"":""medium"",""execution_type"":""interactive""}}"
2025-04-25T06:37:03Z,939862,recycbitcoin,application,query_execution,10.000000,free,false,730790,"{""query_execution_metadata"":{""execution_id"":""01JSNTKDSYHS52045Q84F32TAE"",""metrics"":{""execution_pending_milliseconds"":15508,""result_set_bytes"":47754,""row_count"":1182,""column_count"":4,""cell_count"":4728},""performance"":""medium"",""execution_type"":""interactive""}}"
2025-04-25T06:37:11Z,939862,recycbitcoin,application,query_execution,10.000000,free,false,1200356,"{""query_execution_metadata"":{""execution_id"":""01JSNTKDSY6SVGG0C5VYJ05V51"",""metrics"":{""execution_duration_seconds"":17,""execution_pending_milliseconds"":6739,""result_set_bytes"":24701,""row_count"":129,""column_count"":3,""cell_count"":387},""performance"":""medium"",""execution_type"":""interactive""}}"
2025-04-25T06:37:21Z,939862,recycbitcoin,application,query_execution,10.000000,free,false,601405,"{""query_execution_metadata"":{""execution_id"":""01JSNTKDSY8CK16J9FFYXNSVNH"",""metrics"":{""execution_duration_seconds"":8,""execution_pending_milliseconds"":26238,""result_set_bytes"":640260,""row_count"":18884,""column_count"":4,""cell_count"":75536},""performance"":""medium"",""execution_type"":""interactive""}}"
2025-04-25T06:37:26Z,939862,recycbitcoin,application,query_execution,10.000000,free,false,4025600,"{""query_execution_metadata"":{""execution_id"":""01JSNTKDQB4GJG54F4C7HFTCF9"",""metrics"":{""execution_duration_seconds"":32,""execution_pending_milliseconds"":6979,""result_set_bytes"":49750,""row_count"":1513,""column_count"":4,""cell_count"":6052},""performance"":""medium"",""execution_type"":""interactive""}}"
2025-04-25T06:37:26Z,939862,recycbitcoin,application,query_execution,10.000000,free,false,559677,"{""query_execution_metadata"":{""execution_id"":""01JSNTKDT2B1ZW0R7R7MDN22QV"",""metrics"":{""execution_duration_seconds"":2,""execution_pending_milliseconds"":37424,""result_set_bytes"":16,""row_count"":1,""column_count"":2,""cell_count"":2},""performance"":""medium"",""execution_type"":""interactive""}}"
2025-04-25T06:37:28Z,939862,recycbitcoin,application,query_execution,10.000000,free,false,3298571,"{""query_execution_metadata"":{""execution_id"":""01JSNTKDSWVTCEC33EFA0PA2BG"",""metrics"":{""execution_duration_seconds"":5,""execution_pending_milliseconds"":35968,""result_set_bytes"":17935299,""row_count"":233047,""column_count"":4,""cell_count"":932188},""performance"":""medium"",""execution_type"":""interactive""}}"
2025-04-25T06:37:30Z,939862,recycbitcoin,application,query_execution,10.000000,free,false,756468,"{""query_execution_metadata"":{""execution_id"":""01JSNTKDV5YTQT54RVK544KH1S"",""metrics"":{""execution_pending_milliseconds"":43273,""result_set_bytes"":3854471,""row_count"":36726,""column_count"":7,""cell_count"":257082},""performance"":""medium"",""execution_type"":""interactive""}}"
2025-04-25T06:37:33Z,939862,recycbitcoin,application,query_execution,10.000000,free,false,1015861,"{""query_execution_metadata"":{""execution_id"":""01JSNTKDV7Q36R0DFNG9SYF5SE"",""metrics"":{""execution_duration_seconds"":1,""execution_pending_milliseconds"":44236,""result_set_bytes"":43501,""row_count"":1159,""column_count"":4,""cell_count"":4636},""performance"":""medium"",""execution_type"":""interactive""}}"
2025-04-25T06:37:41Z,939862,recycbitcoin,application,query_execution,10.000000,free,false,3645067,"{""query_execution_metadata"":{""execution_id"":""01JSNTKDV5KNTAZYK4V9DF1MWD"",""metrics"":{""execution_duration_seconds"":13,""execution_pending_milliseconds"":41537,""result_set_bytes"":782128,""row_count"":22906,""column_count"":4,""cell_count"":91624},""performance"":""medium"",""execution_type"":""interactive""}}"
2025-04-25T06:37:42Z,939862,recycbitcoin,application,query_execution,10.000000,free,false,3665682,"{""query_execution_metadata"":{""execution_id"":""01JSNTKDTDATJSZ2XFEV6EMY6C"",""metrics"":{""execution_duration_seconds"":14,""execution_pending_milliseconds"":41282,""result_set_bytes"":7506,""row_count"":195,""column_count"":5,""cell_count"":975},""performance"":""medium"",""execution_type"":""interactive""}}"
2025-04-25T06:38:00Z,939862,recycbitcoin,application,query_execution,10.000000,free,false,543807,"{""query_execution_metadata"":{""execution_id"":""01JSNTKDV9YMYTG80H26ZMPVE1"",""metrics"":{""execution_duration_seconds"":24,""execution_pending_milliseconds"":49430,""result_set_bytes"":121800,""row_count"":2175,""column_count"":7,""cell_count"":15225},""performance"":""medium"",""execution_type"":""interactive""}}"
